,gender,income,total_completed,total_viewed,total_received,total_spent,avg_spent,completed_bogo,completed_discount,age_range,num_transactions_range,bogos_received_range,discounts_received_range,percent_viewed_range,percent_completed_range,discount_percent_completed_range,bogo_percent_completed_range,labels
2471,M,56000,4,5,5,127,14,1,1,50-59,5-9,0-4,5-9,90-100,80-89,10-19,30-39,2
2472,M,68000,1,2,2,76,19,0,1,40-49,0-4,0-4,0-4,90-100,50-59,30-39,30-39,0
2473,F,75000,3,2,4,58,19,2,1,80+,0-4,5-9,0-4,50-59,70-79,50-59,20-29,-1
2474,M,85000,1,3,4,37,18,1,1,60-69,0-4,0-4,0-4,70-79,20-29,30-39,50-59,0
2475,M,70000,0,1,3,28,7,1,1,30-39,0-4,0-4,0-4,30-39,0-9,50-59,50-59,0
2476,F,87000,3,3,3,202,22,2,0,60-69,5-9,5-9,0-4,90-100,90-100,0-9,20-29,2
2477,M,38000,3,4,5,95,10,2,0,60-69,5-9,10-14,0-4,80-89,60-69,0-9,10-19,2
2478,F,50000,2,3,3,35,2,2,1,60-69,15-19,5-9,0-4,90-100,60-69,30-39,40-49,0
2479,M,54000,3,4,4,240,13,2,1,30-39,15-19,5-9,0-4,90-100,70-79,30-39,30-39,0
2480,F,47000,2,4,5,111,11,2,1,60-69,10-14,5-9,0-4,80-89,40-49,50-59,20-29,0
2481,M,62000,2,4,4,185,9,2,1,50-59,20-24,5-9,0-4,90-100,50-59,30-39,40-49,0
2482,F,100000,1,3,4,50,25,1,2,60-69,0-4,0-4,0-4,70-79,20-29,60-69,30-39,0
2483,M,46000,0,2,6,17,2,1,1,80+,5-9,0-4,0-4,30-39,0-9,50-59,50-59,-1
2484,F,111000,4,4,6,115,28,2,3,60-69,0-4,0-4,10-14,60-69,60-69,30-39,50-59,0
2485,F,120000,2,4,4,243,27,1,1,80+,5-9,0-4,0-4,90-100,50-59,30-39,30-39,2
2486,F,95000,1,3,3,94,31,1,1,60-69,0-4,0-4,0-4,90-100,30-39,30-39,20-29,0
2487,F,35000,5,5,6,203,8,2,2,70-79,20-24,5-9,5-9,80-89,80-89,30-39,20-29,0
2488,M,35000,2,2,4,41,3,1,2,40-49,10-14,0-4,5-9,50-59,50-59,30-39,50-59,0
2489,F,73000,1,2,5,12,4,2,2,20-29,0-4,5-9,0-4,40-49,20-29,90-100,40-49,0
2490,M,65000,3,4,4,207,18,0,2,30-39,10-14,0-4,5-9,90-100,70-79,20-29,40-49,0
2491,M,94000,1,5,5,91,22,2,1,60-69,0-4,5-9,0-4,90-100,20-29,20-29,40-49,0
2492,F,75000,3,4,4,728,56,0,3,50-59,10-14,0-4,5-9,90-100,70-79,30-39,40-49,0
2493,F,70000,2,4,4,62,20,2,0,50-59,0-4,10-14,0-4,90-100,50-59,0-9,20-29,0
2494,M,82000,4,3,4,336,22,1,2,70-79,15-19,0-4,5-9,70-79,90-100,20-29,50-59,0
2495,F,74000,3,2,6,80,4,0,3,50-59,20-24,0-4,5-9,30-39,50-59,30-39,50-59,-1
2496,M,53000,3,1,4,156,12,2,1,20-29,10-14,5-9,0-4,20-29,70-79,50-59,40-49,-1
2497,M,60000,1,2,5,35,2,1,2,60-69,10-14,0-4,5-9,40-49,20-29,40-49,30-39,0
2498,M,52000,6,5,6,176,13,3,2,11-19,10-14,10-14,5-9,80-89,90-100,40-49,20-29,-1
2499,F,40000,3,4,5,73,10,1,3,40-49,5-9,0-4,5-9,80-89,60-69,40-49,30-39,2
2500,M,45000,3,2,4,157,12,1,1,50-59,10-14,0-4,0-4,50-59,70-79,30-39,20-29,-1
2501,F,69000,1,2,4,109,15,1,1,60-69,5-9,0-4,0-4,50-59,20-29,30-39,50-59,2
2502,M,57000,0,4,4,19,2,3,1,40-49,5-9,5-9,0-4,90-100,0-9,50-59,50-59,2
2503,F,31000,1,3,4,101,6,2,1,20-29,15-19,0-4,0-4,70-79,20-29,30-39,50-59,0
2504,M,73000,3,4,5,71,14,3,1,50-59,5-9,5-9,0-4,80-89,60-69,30-39,40-49,2
2505,F,83000,2,3,4,151,25,2,1,70-79,5-9,0-4,0-4,70-79,50-59,30-39,50-59,2
2506,M,36000,0,2,4,14,1,0,1,11-19,5-9,0-4,0-4,50-59,0-9,50-59,20-29,2
2507,M,45000,1,4,6,35,2,2,2,40-49,15-19,5-9,5-9,60-69,10-19,40-49,30-39,0
2508,M,70000,0,3,3,13,2,2,1,30-39,5-9,0-4,0-4,90-100,0-9,50-59,50-59,2
2509,M,66000,0,4,5,3,1,0,1,30-39,0-4,0-4,0-4,80-89,0-9,50-59,50-59,0
2510,M,59000,2,4,4,82,16,2,1,60-69,5-9,5-9,5-9,90-100,50-59,20-29,40-49,2
2511,M,57000,4,2,4,131,13,1,1,40-49,10-14,5-9,5-9,50-59,90-100,20-29,20-29,0
2512,M,55000,1,4,5,47,2,2,1,50-59,15-19,0-4,0-4,80-89,20-29,30-39,60-69,0
2513,M,41000,5,4,6,187,11,2,3,50-59,15-19,5-9,5-9,60-69,80-89,30-39,40-49,0
2514,M,91000,3,3,4,193,27,2,1,70-79,5-9,5-9,0-4,70-79,70-79,50-59,30-39,2
2515,M,88000,2,3,3,166,33,1,1,60-69,5-9,0-4,0-4,90-100,60-69,30-39,30-39,2
2516,M,43000,1,5,5,17,3,3,1,20-29,5-9,5-9,0-4,90-100,20-29,50-59,30-39,2
2517,F,51000,0,3,5,41,3,2,0,30-39,10-14,5-9,0-4,60-69,0-9,0-9,30-39,0
2518,F,73000,3,3,4,89,22,3,0,50-59,0-4,10-14,0-4,70-79,70-79,0-9,30-39,-1
2519,M,94000,1,4,5,41,20,1,1,70-79,0-4,0-4,5-9,80-89,20-29,20-29,50-59,0
2520,F,114000,3,2,4,102,25,2,2,50-59,0-4,5-9,0-4,50-59,70-79,50-59,40-49,0
2521,F,72000,3,5,5,134,19,2,1,40-49,5-9,5-9,0-4,90-100,60-69,30-39,30-39,2
2522,F,71000,4,5,6,106,17,2,1,40-49,5-9,10-14,0-4,80-89,60-69,30-39,10-19,2
2523,F,51000,0,2,3,13,4,2,0,40-49,0-4,5-9,0-4,60-69,0-9,0-9,40-49,0
2524,M,71000,0,4,6,15,2,0,2,20-29,5-9,0-4,5-9,60-69,0-9,20-29,40-49,2
2525,M,34000,1,4,5,21,2,2,2,50-59,5-9,5-9,0-4,80-89,20-29,50-59,40-49,2
2526,F,74000,2,4,5,56,4,2,1,70-79,10-14,0-4,5-9,80-89,40-49,20-29,50-59,0
2527,M,46000,0,4,6,14,2,3,1,60-69,5-9,5-9,0-4,60-69,0-9,90-100,40-49,2
2528,F,83000,2,3,3,150,25,1,1,30-39,5-9,0-4,0-4,90-100,60-69,30-39,30-39,2
2529,M,67000,0,3,6,52,3,1,2,70-79,10-14,0-4,0-4,50-59,0-9,90-100,20-29,0
2530,F,35000,0,4,4,23,1,1,2,70-79,15-19,0-4,0-4,90-100,0-9,50-59,50-59,-1
2531,M,44000,1,3,5,74,3,1,2,30-39,20-24,0-4,5-9,60-69,20-29,40-49,50-59,-1
2532,F,87000,2,3,3,158,26,2,0,40-49,5-9,5-9,0-4,90-100,60-69,0-9,30-39,2
2533,F,71000,0,4,5,33,4,3,2,20-29,5-9,5-9,0-4,80-89,0-9,60-69,50-59,2
2534,F,69000,4,5,5,209,19,2,2,30-39,10-14,5-9,5-9,90-100,80-89,30-39,20-29,0
2535,F,79000,2,1,3,119,19,0,2,80+,5-9,0-4,5-9,30-39,60-69,40-49,20-29,-1
2536,F,84000,3,2,6,98,24,1,1,50-59,0-4,5-9,0-4,30-39,50-59,30-39,10-19,0
2537,F,120000,2,4,5,108,36,2,0,80+,0-4,5-9,0-4,80-89,40-49,0-9,20-29,0
2538,M,68000,1,3,5,18,2,1,2,30-39,5-9,0-4,5-9,60-69,20-29,40-49,50-59,2
2539,F,59000,1,1,5,79,13,1,2,80+,5-9,0-4,0-4,20-29,20-29,50-59,90-100,-1
2540,M,62000,3,3,3,289,16,2,1,30-39,15-19,5-9,0-4,90-100,90-100,30-39,30-39,0
2541,M,73000,1,4,5,17,4,3,0,60-69,0-4,10-14,0-4,80-89,20-29,0-9,30-39,0
2542,F,76000,3,5,5,40,13,1,3,50-59,0-4,0-4,5-9,90-100,60-69,30-39,30-39,0
2543,M,62000,0,4,5,19,2,2,1,50-59,5-9,0-4,0-4,80-89,0-9,30-39,50-59,2
2544,F,110000,2,2,3,191,27,0,2,60-69,5-9,0-4,5-9,60-69,60-69,40-49,50-59,2
2545,M,41000,2,4,4,88,8,1,2,20-29,10-14,0-4,5-9,90-100,50-59,30-39,50-59,0
2546,M,38000,3,4,4,101,10,2,1,70-79,10-14,5-9,5-9,90-100,70-79,20-29,30-39,0
2547,M,51000,1,2,3,54,4,1,1,30-39,10-14,0-4,0-4,60-69,30-39,50-59,30-39,0
2548,M,51000,5,6,6,79,13,2,2,40-49,5-9,5-9,5-9,90-100,80-89,20-29,30-39,2
2549,F,79000,2,2,3,73,24,0,2,60-69,0-4,0-4,5-9,60-69,60-69,40-49,30-39,0
2550,M,62000,2,2,3,222,15,0,2,50-59,10-14,0-4,5-9,60-69,60-69,40-49,30-39,0
2551,F,61000,5,4,5,274,15,2,3,20-29,15-19,5-9,5-9,80-89,90-100,30-39,40-49,0
2552,M,63000,0,3,5,13,2,2,1,50-59,5-9,5-9,0-4,60-69,0-9,90-100,30-39,2
2553,F,75000,4,5,5,157,22,3,1,80+,5-9,5-9,0-4,90-100,80-89,30-39,30-39,2
2554,F,79000,4,4,5,114,19,2,2,50-59,5-9,5-9,5-9,80-89,80-89,20-29,30-39,2
2555,M,67000,0,2,4,10,3,1,2,40-49,0-4,0-4,0-4,50-59,0-9,60-69,90-100,0
2556,F,56000,3,4,4,61,12,2,1,70-79,5-9,5-9,0-4,90-100,70-79,30-39,30-39,2
2557,O,80000,1,5,5,89,22,2,0,40-49,0-4,5-9,0-4,90-100,20-29,0-9,40-49,0
2558,M,53000,3,4,4,96,16,2,0,50-59,5-9,10-14,0-4,90-100,70-79,0-9,10-19,2
2559,F,37000,4,5,6,162,9,2,2,30-39,15-19,5-9,5-9,80-89,60-69,30-39,20-29,0
2560,F,59000,1,4,4,30,3,2,1,30-39,5-9,5-9,0-4,90-100,20-29,30-39,30-39,2
2561,F,47000,5,5,6,242,13,3,1,30-39,15-19,15+,0-4,80-89,80-89,90-100,20-29,-1
2562,M,59000,4,3,5,196,14,3,1,40-49,10-14,5-9,0-4,60-69,80-89,50-59,30-39,0
2563,M,59000,1,4,4,18,3,1,2,30-39,5-9,0-4,5-9,90-100,20-29,20-29,50-59,2
2564,F,112000,3,3,4,84,28,3,1,60-69,0-4,5-9,0-4,70-79,70-79,30-39,40-49,0
2565,F,64000,1,3,3,39,3,0,2,40-49,10-14,0-4,5-9,90-100,30-39,40-49,40-49,0
2566,F,87000,3,4,4,157,19,2,1,40-49,5-9,5-9,0-4,90-100,70-79,30-39,30-39,2
2567,M,31000,1,2,5,27,2,1,3,30-39,10-14,0-4,5-9,40-49,20-29,50-59,50-59,0
2568,M,52000,3,5,5,179,7,1,2,60-69,20-24,0-4,5-9,90-100,60-69,20-29,50-59,0
2569,M,42000,0,4,4,16,3,1,1,30-39,5-9,0-4,0-4,90-100,0-9,50-59,20-29,2
2570,M,72000,5,5,5,245,18,0,2,50-59,10-14,0-4,15+,90-100,90-100,10-19,20-29,0
2571,M,34000,0,4,6,9,2,1,3,60-69,0-4,0-4,5-9,60-69,0-9,30-39,50-59,0
2572,M,98000,3,2,3,351,31,2,1,60-69,10-14,5-9,0-4,60-69,90-100,30-39,40-49,0
2573,M,52000,5,5,5,237,13,3,2,20-29,15-19,5-9,5-9,90-100,90-100,30-39,30-39,0
2574,M,56000,2,3,4,27,3,1,2,40-49,5-9,0-4,5-9,70-79,50-59,20-29,90-100,2
2575,M,68000,0,2,4,16,4,1,1,60-69,0-4,0-4,0-4,50-59,0-9,90-100,30-39,0
2576,M,60000,3,5,5,203,16,1,1,60-69,10-14,0-4,5-9,90-100,60-69,10-19,30-39,0
2577,M,38000,3,3,4,77,8,1,1,20-29,5-9,0-4,5-9,70-79,70-79,10-19,30-39,2
2578,F,95000,4,5,5,290,26,2,2,50-59,10-14,5-9,5-9,90-100,80-89,30-39,30-39,0
2579,F,77000,4,3,4,209,20,2,2,50-59,10-14,5-9,5-9,70-79,90-100,30-39,40-49,0
2580,F,74000,3,4,5,207,20,1,2,50-59,10-14,5-9,0-4,80-89,60-69,50-59,10-19,0
2581,M,57000,5,5,5,150,13,2,2,60-69,10-14,5-9,5-9,90-100,90-100,30-39,20-29,0
2582,F,31000,4,4,6,53,6,1,3,40-49,5-9,0-4,5-9,60-69,60-69,30-39,30-39,2
2583,F,37000,0,3,3,16,3,0,0,70-79,5-9,0-4,0-4,90-100,0-9,0-9,30-39,1
2584,F,88000,4,3,4,810,115,3,1,70-79,5-9,5-9,0-4,70-79,90-100,30-39,30-39,2
2585,M,58000,0,5,6,21,3,3,3,30-39,5-9,5-9,5-9,80-89,0-9,50-59,60-69,-1
2586,M,86000,3,4,4,96,24,2,1,50-59,0-4,5-9,5-9,90-100,70-79,20-29,30-39,0
2587,F,60000,3,5,5,144,14,0,2,60-69,10-14,0-4,5-9,90-100,60-69,20-29,30-39,0
2588,F,90000,5,5,5,332,23,2,3,70-79,10-14,5-9,5-9,90-100,90-100,30-39,30-39,0
2589,M,65000,1,2,3,20,4,0,1,40-49,5-9,0-4,5-9,60-69,30-39,20-29,30-39,-1
2590,M,49000,0,1,3,21,4,1,1,50-59,5-9,0-4,0-4,30-39,0-9,90-100,90-100,2
2591,M,62000,3,3,5,188,17,3,1,60-69,10-14,5-9,0-4,60-69,60-69,30-39,40-49,0
2592,M,78000,4,3,4,234,16,1,2,60-69,10-14,0-4,5-9,70-79,90-100,20-29,30-39,0
2593,M,74000,4,5,5,324,18,2,1,30-39,15-19,5-9,5-9,90-100,80-89,10-19,30-39,0
2594,M,73000,4,5,5,122,17,2,2,80+,5-9,5-9,5-9,90-100,80-89,30-39,20-29,2
2595,M,77000,1,3,3,117,16,1,0,30-39,5-9,0-4,0-4,90-100,30-39,0-9,30-39,2
2596,F,88000,1,1,3,32,16,1,1,60-69,0-4,0-4,0-4,30-39,30-39,50-59,30-39,0
2597,F,38000,3,2,4,115,9,2,1,20-29,10-14,5-9,0-4,50-59,70-79,90-100,20-29,-1
2598,F,39000,4,4,5,160,11,0,2,70-79,10-14,0-4,10-14,80-89,80-89,10-19,20-29,0
2599,F,107000,4,6,6,184,26,3,1,80+,5-9,5-9,5-9,90-100,60-69,20-29,30-39,2
2600,F,100000,2,4,4,172,24,2,1,40-49,5-9,5-9,0-4,90-100,50-59,30-39,40-49,2
2601,F,62000,3,2,4,728,42,2,0,80+,15-19,5-9,0-4,50-59,70-79,0-9,20-29,-1
2602,F,40000,4,3,5,153,10,2,2,20-29,10-14,5-9,5-9,60-69,80-89,40-49,30-39,0
2603,M,52000,1,4,5,21,5,3,1,11-19,0-4,5-9,0-4,80-89,20-29,90-100,30-39,-1
2604,M,44000,3,3,4,65,3,0,3,30-39,20-24,0-4,5-9,70-79,70-79,30-39,30-39,0
2605,F,119000,0,1,4,22,22,0,2,70-79,0-4,0-4,0-4,20-29,0-9,90-100,30-39,0
2606,F,42000,0,3,3,11,1,2,1,40-49,5-9,0-4,0-4,90-100,0-9,50-59,50-59,2
2607,F,113000,3,2,4,233,25,2,1,50-59,5-9,5-9,0-4,50-59,70-79,50-59,40-49,2
2608,F,70000,3,4,5,162,14,2,1,50-59,10-14,5-9,0-4,80-89,60-69,30-39,40-49,0
2609,F,55000,2,4,5,42,2,0,2,40-49,15-19,0-4,5-9,80-89,40-49,20-29,40-49,0
2610,M,45000,2,2,4,134,11,1,1,30-39,10-14,0-4,0-4,50-59,50-59,30-39,30-39,0
2611,M,106000,1,3,4,32,32,1,2,60-69,0-4,0-4,5-9,70-79,20-29,40-49,50-59,0
2612,M,56000,3,3,3,235,13,1,1,60-69,15-19,0-4,5-9,90-100,90-100,10-19,30-39,0
2613,M,72000,2,3,4,37,7,2,1,30-39,5-9,5-9,0-4,70-79,50-59,90-100,20-29,-1
2614,M,45000,0,2,4,28,2,2,1,30-39,10-14,0-4,0-4,50-59,0-9,50-59,50-59,0
2615,F,60000,5,6,6,61,12,4,1,80+,5-9,15+,0-4,90-100,80-89,50-59,20-29,-1
2616,F,105000,3,3,6,142,28,3,1,50-59,5-9,5-9,0-4,50-59,50-59,50-59,30-39,2
2617,M,74000,5,4,6,188,18,1,4,40-49,10-14,5-9,5-9,60-69,80-89,40-49,10-19,0
2618,M,80000,1,2,2,85,28,1,0,70-79,0-4,0-4,0-4,90-100,50-59,0-9,30-39,0
2619,M,30000,4,5,6,48,3,2,3,11-19,15-19,5-9,10-14,80-89,60-69,30-39,40-49,0
2620,F,95000,1,2,2,151,25,0,1,50-59,5-9,0-4,0-4,90-100,50-59,30-39,40-49,2
2621,M,64000,5,6,6,254,19,3,2,60-69,10-14,5-9,5-9,90-100,80-89,30-39,30-39,0
2622,F,79000,3,4,4,170,21,1,1,80+,5-9,0-4,5-9,90-100,70-79,10-19,30-39,2
2623,M,76000,1,4,4,37,18,0,2,50-59,0-4,0-4,5-9,90-100,20-29,40-49,30-39,0
2624,M,98000,3,5,5,196,28,2,1,40-49,5-9,5-9,0-4,90-100,60-69,30-39,30-39,2
2625,M,38000,0,5,5,14,1,1,2,60-69,5-9,0-4,5-9,90-100,0-9,30-39,50-59,2
2626,F,83000,4,4,5,191,23,2,2,70-79,5-9,5-9,5-9,80-89,80-89,20-29,40-49,2
2627,M,77000,2,2,2,198,22,1,1,60-69,5-9,0-4,0-4,90-100,90-100,30-39,30-39,2
2628,M,35000,2,2,3,67,7,1,2,70-79,5-9,0-4,5-9,60-69,60-69,40-49,50-59,2
2629,M,48000,0,2,4,13,1,1,1,40-49,5-9,0-4,0-4,50-59,0-9,50-59,50-59,2
2630,M,50000,2,4,6,60,8,1,1,60-69,5-9,0-4,5-9,60-69,30-39,20-29,30-39,2
2631,M,41000,0,3,6,21,5,2,2,80+,0-4,0-4,0-4,50-59,0-9,60-69,50-59,0
2632,M,96000,6,6,6,392,26,2,1,50-59,15-19,15+,0-4,90-100,90-100,30-39,10-19,-1
2633,F,90000,3,3,3,69,23,1,1,40-49,0-4,5-9,0-4,90-100,90-100,30-39,10-19,0
2634,F,69000,4,4,4,189,14,2,2,40-49,10-14,5-9,5-9,90-100,90-100,30-39,30-39,0
2635,M,78000,2,4,5,99,24,3,1,40-49,0-4,5-9,0-4,80-89,40-49,30-39,30-39,0
2636,F,109000,3,2,4,145,24,1,1,60-69,5-9,0-4,5-9,50-59,70-79,10-19,50-59,2
2637,F,68000,3,2,4,727,66,2,2,40-49,10-14,0-4,5-9,50-59,70-79,30-39,60-69,0
2638,M,57000,4,4,5,220,14,2,2,60-69,15-19,5-9,5-9,80-89,80-89,40-49,30-39,0
2639,M,53000,3,4,4,120,12,2,2,50-59,10-14,5-9,5-9,90-100,70-79,40-49,30-39,0
2640,M,89000,4,4,6,223,22,2,1,40-49,10-14,5-9,0-4,60-69,60-69,50-59,20-29,0
2641,M,66000,4,4,4,216,18,1,3,50-59,10-14,0-4,5-9,90-100,90-100,30-39,30-39,0
2642,M,31000,0,2,3,86,6,0,1,20-29,10-14,0-4,0-4,60-69,0-9,90-100,30-39,0
2643,M,33000,5,5,6,90,2,3,2,20-29,30+,10-14,5-9,80-89,80-89,40-49,20-29,-1
2644,M,88000,2,2,4,205,22,1,2,50-59,5-9,0-4,5-9,50-59,50-59,40-49,90-100,2
2645,O,56000,4,4,4,179,13,2,2,70-79,10-14,5-9,5-9,90-100,90-100,30-39,30-39,0
2646,F,48000,1,3,4,24,4,2,1,70-79,5-9,0-4,0-4,70-79,20-29,50-59,50-59,2
2647,M,74000,4,6,6,148,24,2,3,50-59,5-9,5-9,10-14,90-100,60-69,20-29,40-49,2
2648,M,119000,1,3,5,14,14,2,1,60-69,0-4,5-9,0-4,60-69,20-29,90-100,30-39,0
2649,M,82000,2,5,5,91,22,1,3,60-69,0-4,0-4,10-14,90-100,40-49,30-39,50-59,0
2650,F,31000,0,2,5,7,7,2,2,50-59,0-4,0-4,0-4,40-49,0-9,60-69,50-59,0
2651,F,74000,4,5,5,292,24,2,2,40-49,10-14,5-9,5-9,90-100,80-89,30-39,30-39,0
2652,M,47000,0,2,4,2,2,1,1,60-69,0-4,0-4,0-4,50-59,0-9,50-59,50-59,0
2653,F,88000,1,6,6,36,18,1,1,40-49,0-4,0-4,5-9,90-100,10-19,20-29,50-59,-1
2654,F,37000,0,3,5,5,0,3,2,40-49,5-9,5-9,0-4,60-69,0-9,60-69,60-69,2
2655,F,97000,2,5,6,77,25,1,1,70-79,0-4,5-9,0-4,80-89,30-39,30-39,10-19,0
2656,F,97000,5,2,5,96,24,2,1,50-59,0-4,5-9,0-4,40-49,90-100,30-39,20-29,-1
2657,M,47000,1,3,5,17,2,2,2,70-79,5-9,0-4,5-9,60-69,20-29,40-49,50-59,2
2658,F,50000,0,4,6,55,13,1,1,60-69,0-4,0-4,0-4,60-69,0-9,50-59,90-100,0
2659,F,36000,1,3,5,19,6,2,1,60-69,0-4,0-4,5-9,60-69,20-29,20-29,60-69,0
2660,M,78000,4,4,5,211,23,2,2,50-59,5-9,5-9,5-9,80-89,80-89,40-49,30-39,2
2661,F,59000,2,5,5,43,14,2,2,80+,0-4,5-9,0-4,90-100,40-49,50-59,30-39,0
2662,M,92000,5,5,6,322,23,1,2,80+,10-14,5-9,5-9,80-89,80-89,20-29,10-19,0
2663,M,114000,3,2,5,174,34,3,1,60-69,5-9,5-9,0-4,40-49,60-69,30-39,40-49,2
2664,M,90000,2,4,4,104,20,1,1,50-59,5-9,0-4,0-4,90-100,50-59,30-39,30-39,2
2665,F,97000,4,4,5,1153,230,0,3,50-59,5-9,0-4,10-14,80-89,80-89,20-29,30-39,2
2666,M,37000,0,2,3,9,1,2,0,11-19,5-9,0-4,0-4,60-69,0-9,0-9,60-69,1
2667,F,116000,3,1,4,204,25,0,3,50-59,5-9,0-4,5-9,20-29,70-79,40-49,60-69,-1
2668,M,76000,2,3,3,131,16,1,2,60-69,5-9,0-4,5-9,90-100,60-69,40-49,30-39,2
2669,M,42000,0,3,5,2,1,1,3,20-29,0-4,0-4,5-9,60-69,0-9,50-59,50-59,0
2670,M,49000,0,2,5,14,2,1,4,40-49,5-9,0-4,5-9,40-49,0-9,80-89,50-59,-1
2671,F,82000,3,3,3,184,26,1,2,60-69,5-9,0-4,5-9,90-100,90-100,30-39,30-39,2
2672,M,61000,3,5,5,144,12,2,1,70-79,10-14,5-9,0-4,90-100,60-69,30-39,30-39,0
2673,M,73000,1,3,3,69,3,1,1,50-59,15-19,0-4,0-4,90-100,30-39,30-39,50-59,0
2674,M,48000,4,4,6,462,46,2,2,30-39,10-14,5-9,5-9,60-69,60-69,20-29,30-39,0
2675,M,59000,1,3,3,45,15,0,2,40-49,0-4,0-4,5-9,90-100,30-39,40-49,30-39,0
2676,M,33000,0,3,5,29,1,3,0,60-69,15-19,5-9,0-4,60-69,0-9,0-9,50-59,-1
2677,F,68000,6,4,6,239,18,1,3,80+,10-14,5-9,10-14,60-69,90-100,30-39,10-19,-1
2678,F,91000,4,4,5,207,25,1,3,50-59,5-9,0-4,5-9,80-89,80-89,30-39,30-39,2
2679,M,47000,0,3,4,7,1,1,2,30-39,5-9,0-4,5-9,70-79,0-9,40-49,50-59,2
2680,F,79000,1,2,6,45,15,1,2,50-59,0-4,0-4,0-4,30-39,10-19,60-69,90-100,0
2681,F,54000,4,4,6,154,14,2,2,50-59,10-14,0-4,5-9,60-69,60-69,20-29,50-59,0
2682,F,102000,1,2,4,67,22,0,2,50-59,0-4,0-4,0-4,50-59,20-29,50-59,50-59,0
2683,F,43000,3,4,5,119,11,1,2,50-59,10-14,5-9,0-4,80-89,60-69,50-59,10-19,0
2684,F,61000,3,3,6,54,4,1,2,20-29,10-14,5-9,0-4,50-59,50-59,50-59,20-29,-1
2685,F,81000,3,6,6,84,21,2,1,50-59,0-4,5-9,0-4,90-100,50-59,30-39,20-29,0
2686,F,73000,4,5,6,115,23,2,1,40-49,5-9,10-14,0-4,80-89,60-69,50-59,10-19,2
2687,F,72000,5,4,5,192,19,2,2,60-69,10-14,5-9,5-9,80-89,90-100,30-39,20-29,0
2688,M,73000,0,3,3,19,3,1,1,20-29,5-9,0-4,0-4,90-100,0-9,50-59,50-59,2
2689,M,51000,3,5,5,122,12,0,2,60-69,10-14,0-4,5-9,90-100,60-69,20-29,50-59,0
2690,M,35000,0,3,4,30,3,0,1,40-49,5-9,0-4,0-4,70-79,0-9,90-100,50-59,2
2691,F,115000,3,5,5,209,26,2,1,60-69,5-9,5-9,0-4,90-100,60-69,30-39,20-29,2
2692,F,75000,1,4,6,58,19,2,2,50-59,0-4,5-9,0-4,60-69,10-19,50-59,40-49,0
2693,F,42000,2,4,6,30,4,2,3,30-39,5-9,0-4,5-9,60-69,30-39,30-39,60-69,2
2694,M,78000,2,4,4,81,16,1,1,40-49,5-9,0-4,5-9,90-100,50-59,20-29,30-39,2
2695,F,87000,2,2,3,84,21,1,2,80+,0-4,0-4,0-4,60-69,60-69,50-59,30-39,0
2696,M,55000,2,4,5,47,3,1,2,50-59,15-19,0-4,5-9,80-89,40-49,30-39,50-59,0
2697,F,87000,6,5,6,322,23,2,3,60-69,10-14,5-9,10-14,80-89,90-100,20-29,30-39,0
2698,M,46000,4,6,6,177,8,3,0,70-79,20-24,15+,0-4,90-100,60-69,0-9,10-19,-1
2699,M,34000,0,0,5,3,1,1,1,50-59,0-4,0-4,0-4,0-9,0-9,90-100,90-100,0
2700,M,36000,4,4,5,48,2,0,2,70-79,20-24,0-4,10-14,80-89,80-89,10-19,90-100,-1
2701,M,47000,3,3,4,96,12,2,1,40-49,5-9,5-9,0-4,70-79,70-79,30-39,40-49,2
2702,M,32000,0,3,4,17,2,2,1,50-59,5-9,0-4,0-4,70-79,0-9,90-100,50-59,2
2703,F,83000,1,2,4,25,25,2,0,60-69,0-4,0-4,0-4,50-59,20-29,0-9,50-59,0
2704,F,81000,1,4,5,90,22,0,3,50-59,0-4,0-4,5-9,80-89,20-29,50-59,50-59,0
2705,M,72000,2,1,6,34,3,1,3,60-69,5-9,0-4,5-9,10-19,30-39,40-49,50-59,-1
2706,F,69000,2,5,5,179,14,1,1,50-59,10-14,0-4,0-4,90-100,40-49,30-39,30-39,0
2707,M,38000,0,4,5,26,2,3,2,30-39,5-9,5-9,0-4,80-89,0-9,60-69,50-59,2
2708,M,60000,3,4,4,36,2,1,1,70-79,10-14,0-4,5-9,90-100,70-79,10-19,30-39,0
2709,O,60000,3,4,4,78,13,2,1,70-79,5-9,5-9,0-4,90-100,70-79,30-39,30-39,2
2710,F,82000,4,4,4,922,61,2,2,50-59,15-19,5-9,5-9,90-100,90-100,30-39,30-39,0
2711,M,65000,4,5,5,131,18,1,2,70-79,5-9,5-9,5-9,90-100,80-89,20-29,20-29,2
2712,M,42000,0,2,6,3,1,2,2,40-49,0-4,5-9,0-4,30-39,0-9,90-100,40-49,0
2713,M,80000,3,4,4,161,20,1,1,70-79,5-9,5-9,0-4,90-100,70-79,30-39,10-19,2
2714,M,52000,1,4,5,18,4,1,2,20-29,0-4,0-4,5-9,80-89,20-29,30-39,50-59,0
2715,M,57000,4,3,4,225,14,2,1,50-59,15-19,5-9,5-9,70-79,90-100,10-19,40-49,0
2716,F,73000,5,3,5,228,22,2,1,60-69,10-14,5-9,5-9,60-69,90-100,20-29,20-29,0
2717,F,53000,1,4,5,24,12,2,2,80+,0-4,5-9,5-9,80-89,20-29,40-49,40-49,0
