,gender,income,total_completed,total_viewed,total_received,total_spent,avg_spent,completed_bogo,completed_discount,age_range,num_transactions_range,bogos_received_range,discounts_received_range,percent_viewed_range,percent_completed_range,discount_percent_completed_range,bogo_percent_completed_range
4151,M,55000,3,4,4,49,16,1,2,40-49,0-4,0-4,5-9,90-100,70-79,30-39,30-39
4152,M,72000,1,2,4,13,4,1,1,60-69,0-4,0-4,0-4,50-59,20-29,50-59,50-59
4153,M,32000,0,4,6,5,1,1,3,40-49,5-9,0-4,5-9,60-69,0-9,50-59,50-59
4154,M,40000,1,3,4,74,2,3,1,20-29,25-29,5-9,0-4,70-79,20-29,30-39,60-69
4155,M,54000,1,5,5,16,16,0,3,80+,0-4,0-4,5-9,90-100,20-29,30-39,60-69
4156,M,98000,2,1,2,111,27,0,2,40-49,0-4,0-4,5-9,50-59,90-100,40-49,60-69
4157,F,81000,0,2,2,35,17,0,1,50-59,0-4,0-4,0-4,90-100,0-9,50-59,60-69
4158,M,69000,4,3,5,198,14,2,1,40-49,10-14,5-9,0-4,60-69,80-89,50-59,20-29
4159,M,59000,2,3,4,67,3,3,0,30-39,15-19,5-9,0-4,70-79,50-59,0-9,30-39
4160,M,50000,2,3,6,66,4,2,1,40-49,15-19,5-9,0-4,50-59,30-39,30-39,20-29
4161,M,54000,1,2,3,58,19,1,1,30-39,0-4,0-4,0-4,60-69,30-39,50-59,30-39
4162,M,65000,2,3,5,137,17,1,2,70-79,5-9,0-4,0-4,60-69,40-49,60-69,30-39
4163,F,79000,4,2,4,209,19,3,1,60-69,10-14,5-9,0-4,50-59,90-100,50-59,30-39
4164,M,74000,0,3,5,2,2,1,1,50-59,0-4,0-4,0-4,60-69,0-9,20-29,50-59
4165,M,70000,3,4,4,844,60,2,0,50-59,10-14,5-9,0-4,90-100,70-79,0-9,20-29
4166,M,34000,2,4,6,51,2,1,2,40-49,15-19,0-4,0-4,60-69,30-39,50-59,30-39
4167,F,73000,4,5,5,304,17,2,1,80+,15-19,5-9,5-9,90-100,80-89,10-19,30-39
4168,F,58000,2,3,4,29,4,2,1,80+,5-9,0-4,0-4,70-79,50-59,30-39,50-59
4169,M,64000,5,6,6,104,17,2,2,70-79,5-9,5-9,5-9,90-100,80-89,20-29,30-39
4170,M,35000,1,5,6,21,3,3,2,20-29,5-9,5-9,0-4,80-89,10-19,50-59,50-59
4171,F,85000,2,1,2,48,24,2,0,50-59,0-4,5-9,0-4,50-59,90-100,0-9,40-49
4172,M,87000,1,3,3,86,28,2,0,60-69,0-4,5-9,0-4,90-100,30-39,0-9,40-49
4173,M,33000,1,3,6,31,2,2,2,60-69,10-14,0-4,5-9,50-59,10-19,40-49,60-69
4174,M,53000,4,3,5,172,13,2,0,40-49,10-14,10-14,0-4,60-69,80-89,0-9,10-19
4175,F,56000,4,4,4,263,13,2,1,50-59,20-24,5-9,0-4,90-100,90-100,30-39,20-29
4176,F,110000,3,4,4,147,24,3,1,50-59,5-9,5-9,0-4,90-100,70-79,30-39,30-39
4177,F,75000,3,4,5,89,22,2,2,60-69,0-4,5-9,5-9,80-89,60-69,40-49,40-49
4178,F,65000,1,3,5,170,17,1,1,60-69,10-14,0-4,0-4,60-69,20-29,90-100,30-39
4179,F,73000,2,1,3,76,19,0,2,40-49,0-4,0-4,0-4,30-39,60-69,50-59,30-39
4180,M,41000,0,1,2,19,4,2,0,60-69,0-4,0-4,0-4,50-59,0-9,0-9,60-69
4181,M,54000,2,5,6,93,15,1,2,50-59,5-9,0-4,5-9,80-89,30-39,20-29,50-59
4182,F,48000,2,3,4,54,10,2,1,30-39,5-9,5-9,0-4,70-79,50-59,50-59,40-49
4183,M,61000,0,2,2,41,10,0,0,70-79,0-4,0-4,0-4,90-100,0-9,0-9,40-49
4184,M,45000,2,3,5,76,3,1,2,70-79,20-24,0-4,5-9,60-69,40-49,40-49,50-59
4185,M,69000,1,3,4,25,5,0,1,50-59,5-9,0-4,5-9,70-79,20-29,10-19,50-59
4186,M,91000,0,6,6,103,25,3,1,60-69,0-4,5-9,0-4,90-100,0-9,50-59,30-39
4187,F,84000,4,3,5,157,26,3,1,50-59,5-9,5-9,0-4,60-69,80-89,50-59,30-39
4188,M,69000,2,4,6,43,5,2,2,20-29,5-9,5-9,0-4,60-69,30-39,50-59,20-29
4189,M,65000,4,3,4,275,17,3,1,60-69,15-19,5-9,0-4,70-79,90-100,30-39,30-39
4190,M,48000,5,4,5,592,29,3,1,20-29,20-24,10-14,0-4,80-89,90-100,30-39,20-29
4191,F,65000,5,5,5,120,20,2,1,50-59,5-9,10-14,0-4,90-100,90-100,30-39,10-19
4192,F,38000,4,4,5,184,8,2,3,30-39,20-24,5-9,5-9,80-89,80-89,30-39,40-49
4193,M,39000,0,5,6,2,1,3,0,20-29,0-4,5-9,0-4,80-89,0-9,0-9,30-39
4194,F,33000,5,5,5,167,9,2,1,20-29,15-19,10-14,0-4,90-100,90-100,30-39,10-19
4195,F,78000,5,5,5,190,21,3,1,80+,5-9,10-14,0-4,90-100,90-100,30-39,20-29
4196,F,88000,1,2,2,139,19,0,1,80+,5-9,0-4,0-4,90-100,50-59,30-39,20-29
4197,F,79000,3,4,4,48,16,1,2,40-49,0-4,0-4,5-9,90-100,70-79,20-29,50-59
4198,M,88000,4,3,4,121,20,1,3,60-69,5-9,0-4,5-9,70-79,90-100,30-39,30-39
4199,M,96000,4,5,5,95,23,1,3,30-39,0-4,0-4,5-9,90-100,80-89,30-39,30-39
4200,F,45000,4,2,5,148,11,2,3,40-49,10-14,5-9,5-9,40-49,80-89,50-59,40-49
4201,O,91000,2,5,6,71,23,2,2,50-59,0-4,5-9,0-4,80-89,30-39,60-69,20-29
4202,M,60000,2,5,6,24,12,2,1,60-69,0-4,10-14,0-4,80-89,30-39,50-59,10-19
4203,F,92000,0,2,2,94,31,1,0,60-69,0-4,0-4,0-4,90-100,0-9,0-9,50-59
4204,M,63000,3,3,5,132,14,2,1,50-59,5-9,5-9,0-4,60-69,60-69,50-59,40-49
4205,M,51000,2,4,6,67,11,2,2,70-79,5-9,5-9,5-9,60-69,30-39,30-39,40-49
4206,M,40000,0,4,6,4,1,1,3,30-39,0-4,0-4,0-4,60-69,0-9,70-79,20-29
4207,M,112000,3,5,6,96,24,2,1,80+,0-4,5-9,5-9,80-89,50-59,10-19,40-49
4208,F,83000,3,4,4,182,20,1,1,80+,5-9,0-4,5-9,90-100,70-79,10-19,30-39
4209,M,58000,2,4,5,38,3,1,2,50-59,10-14,5-9,0-4,80-89,40-49,50-59,20-29
4210,M,73000,0,3,5,24,3,2,1,20-29,5-9,5-9,0-4,60-69,0-9,90-100,30-39
4211,M,64000,2,2,4,30,5,1,2,60-69,5-9,0-4,0-4,50-59,50-59,50-59,30-39
4212,F,46000,1,2,3,54,9,1,0,50-59,5-9,0-4,0-4,60-69,30-39,0-9,30-39
4213,M,44000,4,4,6,141,10,1,3,11-19,10-14,0-4,5-9,60-69,60-69,30-39,30-39
4214,F,42000,2,2,5,26,2,1,2,40-49,5-9,0-4,0-4,40-49,40-49,50-59,30-39
4215,M,45000,0,1,2,11,3,1,1,50-59,0-4,0-4,0-4,50-59,0-9,90-100,50-59
4216,M,52000,1,2,3,65,5,2,0,60-69,10-14,5-9,0-4,60-69,30-39,0-9,40-49
4217,M,60000,0,2,3,31,2,1,1,80+,10-14,0-4,0-4,60-69,0-9,90-100,50-59
4218,F,65000,0,3,4,18,3,0,2,80+,5-9,0-4,0-4,70-79,0-9,50-59,50-59
4219,M,41000,1,3,4,37,7,2,2,40-49,5-9,0-4,0-4,70-79,20-29,50-59,50-59
4220,M,68000,1,3,3,21,4,1,1,40-49,5-9,0-4,0-4,90-100,30-39,30-39,50-59
4221,M,57000,1,3,3,39,2,1,1,70-79,15-19,0-4,0-4,90-100,30-39,30-39,20-29
4222,F,87000,2,4,4,52,26,2,1,50-59,0-4,0-4,5-9,90-100,50-59,10-19,50-59
4223,F,48000,0,2,2,28,3,1,0,30-39,5-9,0-4,0-4,90-100,0-9,0-9,50-59
4224,F,64000,3,4,4,156,15,2,1,50-59,10-14,5-9,0-4,90-100,70-79,30-39,20-29
4225,F,42000,2,2,3,73,8,2,1,40-49,5-9,5-9,0-4,60-69,60-69,90-100,30-39
4226,F,90000,2,2,5,105,21,2,0,80+,5-9,5-9,0-4,40-49,40-49,0-9,40-49
4227,M,38000,0,3,3,8,2,1,1,70-79,0-4,0-4,0-4,90-100,0-9,50-59,50-59
4228,F,64000,3,2,4,147,16,3,0,20-29,5-9,5-9,0-4,50-59,70-79,0-9,30-39
4229,M,53000,1,2,4,18,3,0,2,20-29,5-9,0-4,5-9,50-59,20-29,40-49,30-39
4230,F,68000,4,6,6,234,19,3,1,40-49,10-14,5-9,0-4,90-100,60-69,30-39,30-39
4231,F,56000,0,4,4,22,11,2,0,60-69,0-4,5-9,0-4,90-100,0-9,0-9,30-39
4232,F,81000,4,5,5,141,20,3,1,70-79,5-9,5-9,0-4,90-100,80-89,30-39,30-39
4233,F,74000,3,5,5,380,17,2,0,70-79,20-24,5-9,0-4,90-100,60-69,0-9,20-29
4234,F,42000,3,2,3,92,8,1,1,40-49,10-14,5-9,0-4,60-69,90-100,30-39,20-29
4235,M,70000,3,2,4,650,130,1,0,40-49,5-9,5-9,0-4,50-59,70-79,0-9,10-19
4236,F,99000,4,5,5,829,69,2,1,70-79,10-14,5-9,0-4,90-100,80-89,30-39,20-29
4237,M,55000,0,3,6,8,2,3,2,20-29,0-4,5-9,0-4,50-59,0-9,60-69,60-69
4238,F,99000,3,4,4,379,25,1,2,60-69,15-19,0-4,5-9,90-100,70-79,30-39,30-39
4239,M,35000,1,3,4,29,3,2,0,30-39,5-9,5-9,0-4,70-79,20-29,0-9,40-49
4240,M,119000,4,3,4,270,24,3,1,80+,10-14,5-9,0-4,70-79,90-100,30-39,30-39
4241,F,56000,3,5,6,123,15,2,3,70-79,5-9,5-9,5-9,80-89,50-59,40-49,40-49
4242,F,32000,1,2,4,76,19,1,1,20-29,0-4,0-4,0-4,50-59,20-29,50-59,20-29
4243,F,66000,4,5,5,322,18,2,1,80+,15-19,5-9,0-4,90-100,80-89,30-39,20-29
4244,M,44000,2,3,5,31,2,2,1,20-29,10-14,5-9,0-4,60-69,40-49,30-39,20-29
4245,F,92000,0,2,2,162,27,1,0,50-59,5-9,0-4,0-4,90-100,0-9,0-9,50-59
4246,M,34000,3,5,5,81,3,2,2,70-79,25-29,0-4,5-9,90-100,60-69,20-29,50-59
4247,F,70000,2,2,2,179,22,0,2,40-49,5-9,0-4,5-9,90-100,90-100,30-39,50-59
4248,F,91000,3,4,4,81,27,1,1,50-59,0-4,5-9,5-9,90-100,70-79,10-19,20-29
4249,F,85000,3,3,3,146,24,1,2,60-69,5-9,0-4,5-9,90-100,90-100,30-39,30-39
4250,F,74000,3,2,5,87,21,3,2,50-59,0-4,5-9,0-4,40-49,60-69,50-59,50-59
4251,M,73000,4,3,4,185,16,2,1,70-79,10-14,5-9,0-4,70-79,90-100,50-59,20-29
4252,M,53000,0,3,4,10,2,2,1,30-39,5-9,0-4,0-4,70-79,0-9,90-100,50-59
4253,M,63000,0,2,5,25,5,1,1,60-69,5-9,0-4,0-4,40-49,0-9,50-59,50-59
4254,F,41000,3,2,5,121,10,1,1,80+,10-14,0-4,5-9,40-49,60-69,10-19,50-59
4255,M,57000,0,2,2,27,13,0,1,60-69,0-4,0-4,0-4,90-100,0-9,50-59,50-59
4256,M,64000,0,2,4,30,2,2,1,70-79,10-14,0-4,0-4,50-59,0-9,50-59,50-59
4257,M,33000,3,4,6,49,3,1,3,40-49,15-19,5-9,5-9,60-69,50-59,30-39,20-29
4258,M,75000,3,1,4,71,17,2,1,50-59,0-4,5-9,0-4,20-29,70-79,50-59,30-39
4259,M,97000,2,3,3,270,30,0,2,60-69,5-9,0-4,5-9,90-100,60-69,30-39,30-39
4260,F,43000,3,3,5,120,9,1,2,60-69,10-14,5-9,0-4,60-69,60-69,50-59,10-19
4261,M,61000,1,5,6,86,3,2,2,30-39,20-24,5-9,0-4,80-89,10-19,50-59,30-39
4262,F,55000,3,4,4,165,12,3,1,70-79,10-14,5-9,0-4,90-100,70-79,30-39,30-39
4263,F,31000,3,2,4,89,7,1,1,20-29,10-14,5-9,0-4,50-59,70-79,30-39,20-29
4264,M,52000,0,3,3,19,9,1,1,80+,0-4,0-4,0-4,90-100,0-9,50-59,50-59
4265,F,92000,2,4,4,99,24,1,1,70-79,0-4,0-4,0-4,90-100,50-59,30-39,30-39
4266,M,55000,3,5,6,38,3,1,3,50-59,10-14,0-4,5-9,80-89,50-59,30-39,50-59
4267,M,37000,0,2,5,7,1,2,2,50-59,5-9,0-4,0-4,40-49,0-9,50-59,60-69
4268,M,45000,0,2,5,18,2,2,1,20-29,5-9,0-4,0-4,40-49,0-9,90-100,50-59
4269,F,69000,4,3,5,254,19,2,2,60-69,10-14,5-9,5-9,60-69,80-89,40-49,30-39
4270,F,33000,1,4,5,132,6,3,2,40-49,15-19,5-9,0-4,80-89,20-29,60-69,40-49
4271,M,79000,3,3,3,166,18,1,2,60-69,5-9,0-4,5-9,90-100,90-100,30-39,30-39
4272,F,79000,2,1,5,77,19,1,2,80+,0-4,0-4,5-9,20-29,40-49,40-49,50-59
4273,O,46000,2,4,4,22,2,2,1,60-69,5-9,5-9,0-4,90-100,50-59,50-59,20-29
4274,M,50000,4,4,4,135,15,2,2,20-29,5-9,5-9,5-9,90-100,90-100,30-39,30-39
4275,F,70000,0,3,4,9,2,1,2,50-59,0-4,0-4,0-4,70-79,0-9,60-69,50-59
4276,F,74000,3,4,5,245,24,1,2,50-59,10-14,0-4,5-9,80-89,60-69,30-39,30-39
4277,F,106000,3,4,4,278,30,1,2,50-59,5-9,0-4,5-9,90-100,70-79,30-39,30-39
4278,M,46000,0,3,4,6,2,1,1,60-69,0-4,0-4,0-4,70-79,0-9,90-100,50-59
4279,M,58000,3,3,4,233,14,0,2,20-29,15-19,0-4,5-9,70-79,70-79,20-29,50-59
4280,F,34000,4,6,6,151,8,2,2,60-69,15-19,5-9,5-9,90-100,60-69,20-29,30-39
4281,M,49000,1,2,5,32,4,3,1,30-39,5-9,5-9,0-4,40-49,20-29,90-100,50-59
4282,F,48000,4,4,5,75,10,2,2,20-29,5-9,5-9,5-9,80-89,80-89,30-39,30-39
4283,F,64000,1,2,2,133,14,0,1,60-69,5-9,0-4,0-4,90-100,50-59,30-39,30-39
4284,M,32000,2,4,6,51,2,3,2,20-29,20-24,5-9,0-4,60-69,30-39,50-59,30-39
4285,F,43000,0,2,4,10,2,0,3,20-29,5-9,0-4,0-4,50-59,0-9,70-79,30-39
4286,F,89000,5,3,5,273,24,2,2,60-69,10-14,5-9,5-9,60-69,90-100,20-29,30-39
4287,M,92000,2,3,3,162,23,1,1,70-79,5-9,0-4,0-4,90-100,60-69,30-39,30-39
4288,M,70000,1,3,5,13,4,1,3,20-29,0-4,0-4,5-9,60-69,20-29,60-69,50-59
4289,F,54000,2,2,5,39,3,1,1,50-59,10-14,0-4,0-4,40-49,40-49,20-29,20-29
4290,M,113000,4,4,6,118,23,3,1,50-59,5-9,10-14,0-4,60-69,60-69,50-59,30-39
4291,M,101000,2,3,5,117,23,0,1,70-79,5-9,0-4,5-9,60-69,40-49,10-19,30-39
4292,M,47000,0,1,3,30,5,1,1,20-29,5-9,0-4,0-4,30-39,0-9,90-100,90-100
4293,M,62000,4,3,4,256,16,3,1,50-59,15-19,5-9,0-4,70-79,90-100,30-39,30-39
4294,M,59000,0,2,4,19,3,1,2,20-29,5-9,0-4,0-4,50-59,0-9,50-59,50-59
4295,F,36000,1,3,5,52,3,2,2,20-29,15-19,0-4,0-4,60-69,20-29,50-59,50-59
4296,F,64000,3,5,5,96,13,1,1,60-69,5-9,0-4,5-9,90-100,60-69,10-19,30-39
4297,M,59000,4,5,5,172,14,1,3,40-49,10-14,0-4,10-14,90-100,80-89,20-29,30-39
4298,M,36000,0,3,6,9,1,1,2,60-69,5-9,0-4,0-4,50-59,0-9,50-59,20-29
4299,F,88000,3,6,6,171,24,1,1,60-69,5-9,0-4,5-9,90-100,50-59,10-19,30-39
4300,M,31000,0,3,4,17,2,2,2,50-59,5-9,0-4,0-4,70-79,0-9,60-69,50-59
4301,M,46000,0,1,4,14,2,1,1,70-79,5-9,0-4,0-4,20-29,0-9,90-100,90-100
4302,F,62000,1,2,4,53,3,0,2,11-19,10-14,0-4,5-9,50-59,20-29,40-49,90-100
4303,F,78000,3,3,4,298,21,1,2,50-59,10-14,0-4,5-9,70-79,70-79,30-39,30-39
4304,M,63000,1,2,4,168,18,0,1,50-59,5-9,0-4,0-4,50-59,20-29,30-39,30-39
4305,M,66000,3,2,3,151,16,2,0,60-69,5-9,5-9,0-4,60-69,90-100,0-9,20-29
4306,F,41000,3,2,4,140,11,1,2,30-39,10-14,0-4,5-9,50-59,70-79,40-49,30-39
4307,O,87000,2,6,6,35,17,2,2,50-59,0-4,0-4,5-9,90-100,30-39,20-29,50-59
4308,F,99000,3,4,5,182,26,1,1,60-69,5-9,0-4,5-9,80-89,60-69,20-29,30-39
4309,M,35000,0,3,5,13,2,1,2,30-39,5-9,0-4,0-4,60-69,0-9,60-69,50-59
4310,M,68000,1,5,6,41,20,1,3,40-49,0-4,0-4,5-9,80-89,10-19,40-49,50-59
4311,M,49000,0,3,6,18,3,3,2,11-19,5-9,5-9,0-4,50-59,0-9,90-100,40-49
4312,M,51000,0,3,5,10,2,1,2,40-49,0-4,0-4,0-4,60-69,0-9,60-69,50-59
4313,M,43000,0,3,5,9,1,2,2,70-79,5-9,0-4,0-4,60-69,0-9,60-69,60-69
4314,O,46000,1,4,4,29,3,3,1,80+,5-9,5-9,0-4,90-100,20-29,30-39,50-59
4315,M,65000,4,4,4,150,18,2,1,60-69,5-9,5-9,0-4,90-100,90-100,30-39,20-29
4316,M,37000,5,6,6,325,40,1,2,60-69,5-9,0-4,10-14,90-100,80-89,10-19,30-39
4317,M,85000,1,2,5,55,18,1,2,50-59,0-4,0-4,0-4,40-49,20-29,60-69,30-39
4318,F,79000,3,3,3,223,24,2,1,60-69,5-9,5-9,0-4,90-100,90-100,30-39,30-39
4319,F,119000,3,3,5,277,25,1,1,80+,10-14,5-9,0-4,60-69,60-69,50-59,10-19
4320,F,75000,4,3,5,122,20,1,2,50-59,5-9,5-9,5-9,60-69,80-89,40-49,10-19
4321,M,53000,1,4,4,16,16,1,2,70-79,0-4,0-4,5-9,90-100,20-29,40-49,50-59
4322,M,53000,0,4,5,15,3,3,2,20-29,0-4,5-9,0-4,80-89,0-9,50-59,60-69
4323,M,46000,0,1,3,13,1,1,1,20-29,5-9,0-4,0-4,30-39,0-9,50-59,90-100
4324,F,68000,1,3,4,47,3,2,1,20-29,10-14,0-4,0-4,70-79,20-29,50-59,50-59
4325,F,53000,0,2,2,41,13,0,1,70-79,0-4,0-4,0-4,90-100,0-9,50-59,20-29
4326,F,100000,4,4,4,236,26,2,1,50-59,5-9,5-9,0-4,90-100,90-100,30-39,20-29
4327,F,51000,4,4,5,92,4,1,3,60-69,20-24,0-4,10-14,80-89,80-89,30-39,30-39
4328,F,82000,4,5,5,177,22,2,1,70-79,5-9,5-9,0-4,90-100,80-89,30-39,20-29
4329,F,60000,4,5,5,88,17,2,1,40-49,5-9,5-9,0-4,90-100,80-89,30-39,20-29
4330,M,41000,0,3,5,5,2,1,1,50-59,0-4,0-4,0-4,60-69,0-9,20-29,50-59
4331,M,69000,4,5,5,189,21,1,3,40-49,5-9,0-4,5-9,90-100,80-89,30-39,30-39
4332,F,66000,1,3,5,57,19,3,1,60-69,0-4,5-9,0-4,60-69,20-29,50-59,40-49
4333,M,32000,0,4,6,20,1,3,1,40-49,10-14,5-9,0-4,60-69,0-9,90-100,50-59
4334,F,60000,2,2,2,128,16,2,0,60-69,5-9,5-9,0-4,90-100,90-100,0-9,30-39
4335,M,41000,0,2,6,11,2,1,3,30-39,0-4,0-4,5-9,30-39,0-9,60-69,50-59
4336,M,67000,0,2,4,47,2,1,0,20-29,15-19,5-9,0-4,50-59,0-9,0-9,20-29
4337,F,51000,1,4,4,52,17,1,1,60-69,0-4,0-4,5-9,90-100,20-29,20-29,50-59
4338,F,36000,3,2,3,46,7,2,0,30-39,5-9,5-9,0-4,60-69,90-100,0-9,20-29
4339,M,68000,3,5,6,28,3,1,3,60-69,5-9,0-4,10-14,80-89,50-59,20-29,50-59
4340,F,77000,0,2,2,93,18,1,1,60-69,5-9,0-4,0-4,90-100,0-9,50-59,50-59
4341,F,44000,4,2,6,88,9,2,1,50-59,5-9,5-9,0-4,30-39,60-69,50-59,20-29
4342,F,116000,4,2,4,128,25,2,0,80+,5-9,10-14,0-4,50-59,90-100,0-9,20-29
4343,F,71000,3,4,5,55,11,2,1,80+,5-9,0-4,5-9,80-89,60-69,10-19,50-59
4344,M,73000,2,3,3,305,21,1,0,20-29,10-14,5-9,0-4,90-100,60-69,0-9,10-19
4345,F,71000,2,4,5,72,14,2,1,50-59,5-9,5-9,0-4,80-89,40-49,90-100,30-39
4346,M,46000,0,1,3,4,1,0,2,40-49,0-4,0-4,0-4,30-39,0-9,50-59,30-39
4347,M,56000,2,5,5,53,2,1,1,30-39,20-24,5-9,0-4,90-100,40-49,30-39,20-29
4348,M,55000,1,2,2,48,12,1,0,40-49,0-4,0-4,0-4,90-100,50-59,0-9,30-39
4349,F,41000,3,4,5,209,11,0,2,30-39,15-19,0-4,5-9,80-89,60-69,20-29,30-39
4350,M,57000,0,4,6,3,3,3,1,60-69,0-4,5-9,0-4,60-69,0-9,90-100,30-39
4351,M,35000,0,3,4,15,2,2,1,50-59,5-9,0-4,0-4,70-79,0-9,90-100,50-59
4352,M,65000,0,3,4,9,2,1,1,60-69,0-4,0-4,0-4,70-79,0-9,90-100,20-29
4353,F,66000,3,4,4,199,18,0,3,40-49,10-14,0-4,5-9,90-100,70-79,30-39,20-29
4354,M,69000,2,4,4,195,16,1,0,20-29,10-14,5-9,0-4,90-100,50-59,0-9,10-19
4355,F,84000,3,2,4,120,20,2,1,40-49,5-9,5-9,0-4,50-59,70-79,50-59,30-39
4356,M,88000,3,5,6,47,23,2,3,80+,0-4,5-9,5-9,80-89,50-59,40-49,40-49
4357,F,35000,1,2,3,33,3,1,2,40-49,10-14,0-4,0-4,60-69,30-39,50-59,50-59
4358,O,58000,2,4,6,45,4,0,3,40-49,10-14,0-4,5-9,60-69,30-39,30-39,50-59
4359,F,102000,2,1,4,21,21,1,1,60-69,0-4,0-4,0-4,20-29,50-59,50-59,30-39
4360,F,67000,4,4,4,57,14,3,1,40-49,0-4,5-9,0-4,90-100,90-100,30-39,30-39
4361,F,112000,3,4,6,211,30,2,0,50-59,5-9,5-9,0-4,60-69,50-59,0-9,20-29
4362,M,42000,2,4,5,42,2,2,2,30-39,20-24,0-4,5-9,80-89,40-49,40-49,50-59
4363,M,70000,0,3,5,79,19,0,2,40-49,0-4,0-4,0-4,60-69,0-9,60-69,50-59
4364,M,69000,5,4,5,162,18,2,3,60-69,5-9,5-9,5-9,80-89,90-100,30-39,40-49
4365,M,34000,1,4,5,41,2,3,2,50-59,10-14,5-9,0-4,80-89,20-29,50-59,50-59
4366,F,35000,0,3,4,13,3,1,1,30-39,0-4,0-4,0-4,70-79,0-9,50-59,50-59
4367,M,59000,3,2,4,66,3,1,1,20-29,15-19,0-4,5-9,50-59,70-79,10-19,30-39
4368,M,55000,1,2,4,47,3,1,1,60-69,15-19,0-4,0-4,50-59,20-29,30-39,90-100
4369,F,64000,3,4,6,59,4,2,2,80+,10-14,5-9,0-4,60-69,50-59,50-59,40-49
4370,F,73000,3,1,3,196,19,1,2,50-59,10-14,0-4,5-9,30-39,90-100,40-49,50-59
4371,F,97000,6,5,6,184,30,3,1,50-59,5-9,15+,0-4,80-89,90-100,50-59,20-29
4372,F,84000,2,4,4,47,23,2,1,30-39,0-4,5-9,0-4,90-100,50-59,30-39,40-49
4373,M,61000,2,6,6,71,14,1,3,20-29,5-9,0-4,10-14,90-100,30-39,30-39,50-59
4374,F,82000,3,1,6,201,25,2,1,50-59,5-9,5-9,0-4,10-19,50-59,30-39,40-49
4375,M,57000,0,3,5,21,2,0,2,50-59,5-9,0-4,0-4,60-69,0-9,60-69,40-49
4376,M,55000,3,3,4,129,14,1,1,20-29,5-9,5-9,0-4,70-79,70-79,30-39,10-19
4377,F,88000,4,4,6,208,23,2,2,50-59,5-9,5-9,5-9,60-69,60-69,30-39,20-29
4378,F,39000,2,4,5,55,7,2,1,30-39,5-9,5-9,0-4,80-89,40-49,90-100,30-39
4379,F,106000,1,4,5,100,25,2,1,60-69,0-4,5-9,0-4,80-89,20-29,50-59,40-49
4380,M,64000,2,5,5,26,4,2,1,50-59,5-9,5-9,5-9,90-100,40-49,20-29,40-49
4381,M,32000,5,3,6,158,8,2,2,40-49,15-19,5-9,5-9,50-59,80-89,40-49,20-29
4382,F,111000,3,3,6,111,27,2,1,60-69,0-4,0-4,5-9,50-59,50-59,10-19,50-59
4383,F,64000,1,2,2,20,3,2,0,30-39,5-9,5-9,0-4,90-100,50-59,0-9,40-49
4384,M,64000,3,6,6,47,3,1,2,30-39,15-19,5-9,5-9,90-100,50-59,30-39,20-29
4385,M,31000,1,4,6,27,3,1,4,20-29,5-9,0-4,5-9,60-69,10-19,50-59,20-29
4386,M,85000,2,4,4,58,19,2,1,50-59,0-4,5-9,0-4,90-100,50-59,20-29,30-39
4387,M,52000,1,3,3,35,2,1,0,70-79,10-14,5-9,0-4,90-100,30-39,0-9,20-29
4388,M,74000,2,3,5,42,21,1,3,80+,0-4,0-4,5-9,60-69,40-49,50-59,50-59
4389,M,57000,4,4,5,175,15,2,3,50-59,10-14,5-9,5-9,80-89,80-89,40-49,30-39
4390,M,63000,0,4,4,18,9,2,0,60-69,0-4,5-9,0-4,90-100,0-9,0-9,20-29
4391,M,60000,2,6,6,101,14,0,3,70-79,5-9,0-4,10-14,90-100,30-39,30-39,20-29
4392,F,82000,3,0,3,86,21,1,1,50-59,0-4,0-4,0-4,0-9,90-100,20-29,50-59
4393,M,55000,0,3,4,6,1,0,2,50-59,5-9,0-4,5-9,70-79,0-9,40-49,50-59
4394,F,88000,4,2,4,127,21,2,0,40-49,5-9,10-14,0-4,50-59,90-100,0-9,20-29
4395,O,57000,3,4,5,268,14,1,2,60-69,15-19,0-4,5-9,80-89,60-69,30-39,30-39
4396,F,69000,4,4,6,187,18,3,0,20-29,10-14,10-14,0-4,60-69,60-69,0-9,20-29
4397,F,80000,2,4,5,163,23,1,1,80+,5-9,5-9,0-4,80-89,40-49,90-100,10-19
4398,M,40000,0,3,5,6,1,1,4,20-29,0-4,0-4,5-9,60-69,0-9,60-69,50-59
4399,M,38000,2,3,5,58,3,0,1,60-69,15-19,0-4,5-9,60-69,40-49,10-19,50-59
4400,M,85000,4,4,4,151,21,2,2,40-49,5-9,5-9,5-9,90-100,90-100,30-39,30-39
4401,F,65000,2,3,4,65,16,1,2,50-59,0-4,0-4,5-9,70-79,50-59,40-49,50-59
4402,M,61000,3,3,4,78,15,1,3,50-59,5-9,0-4,5-9,70-79,70-79,30-39,50-59
4403,M,62000,2,1,5,41,5,1,3,50-59,5-9,0-4,5-9,20-29,40-49,50-59,90-100
4404,F,41000,2,3,3,107,11,1,2,70-79,5-9,0-4,5-9,90-100,60-69,40-49,30-39
4405,M,69000,4,3,5,217,18,1,2,20-29,10-14,5-9,5-9,60-69,80-89,40-49,20-29
4406,F,72000,2,3,5,136,17,1,1,40-49,5-9,5-9,0-4,60-69,40-49,90-100,10-19
4407,M,38000,3,4,5,135,9,2,2,20-29,10-14,5-9,0-4,80-89,60-69,50-59,30-39
